	is_correct	label	pred
0	True	0	0
1	True	0	0
2	True	0	0
3	True	0	0
4	True	0	0
5	True	0	0
6	True	0	0
7	True	0	0
8	False	0	Q
9	True	0	0
10	True	0	0
11	True	0	0
12	True	0	0
13	True	0	0
14	True	0	0
15	True	0	0
16	True	0	0
17	True	0	0
18	True	0	0
19	True	0	0
20	True	0	0
21	True	0	0
22	True	0	0
23	True	0	0
24	True	0	0
25	True	0	0
26	True	0	0
27	True	0	0
28	True	0	0
29	True	0	0
30	True	0	0
31	True	0	0
32	True	0	0
33	True	0	0
34	True	0	0
35	True	0	0
36	False	0	Q
37	True	0	0
38	True	0	0
39	True	0	0
40	True	0	0
41	True	0	0
42	True	0	0
43	True	0	0
44	True	0	0
45	True	0	0
46	True	0	0
47	True	0	0
48	True	0	0
49	True	0	0
50	True	1	1
51	True	1	1
52	True	1	1
53	True	1	1
54	True	1	1
55	True	1	1
56	True	1	1
57	True	1	1
58	True	1	1
59	True	1	1
60	True	1	1
61	True	1	1
62	True	1	1
63	True	1	1
64	True	1	1
65	True	1	1
66	True	1	1
67	True	1	1
68	True	1	1
69	True	1	1
70	True	1	1
71	True	1	1
72	True	1	1
73	True	1	1
74	True	1	1
75	True	1	1
76	True	1	1
77	True	1	1
78	True	1	1
79	True	1	1
80	True	1	1
81	True	1	1
82	True	1	1
83	True	1	1
84	True	1	1
85	True	1	1
86	True	1	1
87	True	1	1
88	True	1	1
89	True	1	1
90	True	1	1
91	True	1	1
92	True	1	1
93	True	1	1
94	True	1	1
95	True	1	1
96	True	1	1
97	True	1	1
98	True	1	1
99	True	1	1
100	True	2	2
101	True	2	2
102	True	2	2
103	True	2	2
104	True	2	2
105	True	2	2
106	True	2	2
107	True	2	2
108	True	2	2
109	True	2	2
110	True	2	2
111	True	2	2
112	True	2	2
113	True	2	2
114	True	2	2
115	True	2	2
116	True	2	2
117	True	2	2
118	True	2	2
119	True	2	2
120	True	2	2
121	True	2	2
122	True	2	2
123	True	2	2
124	True	2	2
125	True	2	2
126	True	2	2
127	True	2	2
128	True	2	2
129	True	2	2
130	True	2	2
131	True	2	2
132	True	2	2
133	True	2	2
134	True	2	2
135	True	2	2
136	True	2	2
137	True	2	2
138	True	2	2
139	True	2	2
140	True	2	2
141	True	2	2
142	True	2	2
143	True	2	2
144	True	2	2
145	True	2	2
146	True	2	2
147	True	2	2
148	True	2	2
149	True	2	2
150	True	3	3
151	True	3	3
152	True	3	3
153	True	3	3
154	True	3	3
155	True	3	3
156	True	3	3
157	True	3	3
158	True	3	3
159	True	3	3
160	True	3	3
161	True	3	3
162	True	3	3
163	True	3	3
164	True	3	3
165	True	3	3
166	True	3	3
167	True	3	3
168	True	3	3
169	True	3	3
170	True	3	3
171	True	3	3
172	True	3	3
173	True	3	3
174	True	3	3
175	True	3	3
176	True	3	3
177	True	3	3
178	True	3	3
179	True	3	3
180	True	3	3
181	True	3	3
182	True	3	3
183	True	3	3
184	True	3	3
185	True	3	3
186	True	3	3
187	True	3	3
188	True	3	3
189	True	3	3
190	True	3	3
191	True	3	3
192	True	3	3
193	True	3	3
194	True	3	3
195	True	3	3
196	True	3	3
197	True	3	3
198	True	3	3
199	True	3	3
200	True	4	4
201	True	4	4
202	True	4	4
203	True	4	4
204	True	4	4
205	True	4	4
206	True	4	4
207	True	4	4
208	True	4	4
209	True	4	4
210	True	4	4
211	True	4	4
212	True	4	4
213	True	4	4
214	True	4	4
215	True	4	4
216	True	4	4
217	True	4	4
218	True	4	4
219	True	4	4
220	True	4	4
221	True	4	4
222	True	4	4
223	True	4	4
224	True	4	4
225	True	4	4
226	True	4	4
227	True	4	4
228	True	4	4
229	True	4	4
230	True	4	4
231	True	4	4
232	True	4	4
233	True	4	4
234	True	4	4
235	True	4	4
236	True	4	4
237	True	4	4
238	True	4	4
239	True	4	4
240	True	4	4
241	True	4	4
242	True	4	4
243	True	4	4
244	True	4	4
245	True	4	4
246	True	4	4
247	True	4	4
248	True	4	4
249	True	4	4
250	True	5	5
251	True	5	5
252	True	5	5
253	True	5	5
254	True	5	5
255	True	5	5
256	True	5	5
257	True	5	5
258	True	5	5
259	True	5	5
260	True	5	5
261	True	5	5
262	True	5	5
263	True	5	5
264	True	5	5
265	True	5	5
266	True	5	5
267	True	5	5
268	True	5	5
269	True	5	5
270	True	5	5
271	True	5	5
272	True	5	5
273	True	5	5
274	True	5	5
275	True	5	5
276	True	5	5
277	True	5	5
278	True	5	5
279	True	5	5
280	True	5	5
281	True	5	5
282	True	5	5
283	True	5	5
284	True	5	5
285	True	5	5
286	True	5	5
287	True	5	5
288	True	5	5
289	True	5	5
290	True	5	5
291	True	5	5
292	True	5	5
293	True	5	5
294	True	5	5
295	True	5	5
296	True	5	5
297	True	5	5
298	True	5	5
299	True	5	5
300	True	6	6
301	True	6	6
302	True	6	6
