	image_id	is_correct	label	pred
0	201603211826439375.bmp	True	0	0
1	201603211804267966.bmp	True	0	0
2	201603211823492816.bmp	True	0	0
3	201603211817355938.bmp	True	0	0
4	201603211816152816.bmp	True	0	0
5	201603211834284844.bmp	True	0	0
6	201603211828168908.bmp	True	0	0
7	201603211829220008.bmp	True	0	0
8	201603211839564685.bmp	True	0	0
9	201603211832168755.bmp	True	0	0
10	201603211816306876.bmp	True	0	0
11	201603211821558286.bmp	True	0	0
12	201603211835523434.bmp	True	0	0
13	201603211837114846.bmp	True	0	0
14	201603211816512966.bmp	True	0	0
15	201603211815274375.bmp	True	0	0
16	201603211815129374.bmp	True	0	0
17	201603211838077507.bmp	True	0	0
18	201603211834281562.bmp	True	0	0
19	201603211838393596.bmp	True	0	0
20	201603211830335621.bmp	True	0	0
21	201603211822181256.bmp	True	0	0
22	201603211825059844.bmp	True	0	0
23	201603211834282966.bmp	True	0	0
24	201603211823497035.bmp	True	0	0
25	201603211839422032.bmp	True	0	0
26	201603211828586251.bmp	True	0	0
27	201603211837053909.bmp	True	0	0
28	201603211818387507.bmp	True	0	0
29	201603211817490005.bmp	True	0	0
30	201603211814319218.bmp	True	0	0
31	201603211805273756.bmp	True	0	0
32	201603211826527036.bmp	True	0	0
33	201603211840121562.bmp	True	0	0
34	201603211821556092.bmp	True	0	0
35	201603211827393432.bmp	True	0	0
36	201603211834241402.bmp	True	0	0
37	201603211822028907.bmp	True	0	0
38	201603211826334535.bmp	True	0	0
39	201603211820147964.bmp	True	0	0
40	201603211805113595.bmp	True	0	0
41	201603211823416252.bmp	True	0	0
42	201603211824190782.bmp	True	0	0
43	201603211835318906.bmp	True	0	0
44	201603211816359842.bmp	True	0	0
45	201603211805315626.bmp	True	0	0
46	201603211805167345.bmp	True	0	0
47	201603211817536717.bmp	True	0	0
48	201603211837010624.bmp	True	0	0
49	201603211826332966.bmp	True	0	0
50	201603211824137968.bmp	True	0	0
51	201603211822262656.bmp	True	0	0
52	201603211818144065.bmp	True	0	0
53	201603211827382966.bmp	True	0	0
54	201603211804314217.bmp	True	0	0
55	201603211821234536.bmp	True	0	0
56	201603211833205938.bmp	True	0	0
57	201603211832460461.bmp	True	0	0
58	201603211821503128.bmp	True	0	0
59	201603211823314681.bmp	True	0	0
60	201603211834532345.bmp	True	0	0
61	201603211838274687.bmp	True	0	0
62	201603211835159536.bmp	True	0	0
63	201603211806172346.bmp	True	0	0
64	201603211817543905.bmp	True	0	0
65	201603211805366406.bmp	True	0	0
66	201603211817592813.bmp	False	0	D
67	201603211814210468.bmp	True	0	0
68	201603211805479686.bmp	True	0	0
69	201603211835521873.bmp	False	0	D
70	201603211819236718.bmp	True	0	0
71	201603211804184535.bmp	True	0	0
72	201603211815014066.bmp	True	0	0
73	201603211822189378.bmp	True	0	0
74	201603211814265007.bmp	True	0	0
75	201603211821375465.bmp	True	0	0
76	201603211826559682.bmp	True	0	0
77	201603211823145317.bmp	True	0	0
78	201603211817012818.bmp	True	0	0
79	201603211829220931.bmp	True	0	0
80	201603211838252968.bmp	True	0	0
81	201603211814218593.bmp	False	0	D
82	201603211830341402.bmp	True	0	0
83	201603211837017655.bmp	True	0	0
84	201603211819462818.bmp	True	0	0
85	201603211825392506.bmp	True	0	0
86	201603211823498437.bmp	True	0	0
87	201603211815276256.bmp	True	0	0
88	201603211827014375.bmp	True	0	0
89	201603211827382968.bmp	True	0	0
90	201603211814271876.bmp	True	0	0
91	201603211828169378.bmp	False	0	D
92	201603211804175317.bmp	True	0	0
93	201603211820046096.bmp	True	0	0
94	201603211831372965.bmp	True	0	0
95	201603211825349376.bmp	True	0	0
96	201603211815140789.bmp	True	0	0
97	201603211804466716.bmp	True	0	0
98	201603211824195625.bmp	True	0	0
99	201603211825062652.bmp	True	0	0
100	201603211816197961.bmp	True	0	0
101	201603211835520625.bmp	True	0	0
102	201603211827394215.bmp	True	0	0
103	201603211815562962.bmp	True	0	0
104	201603211804313438.bmp	True	0	0
105	201603211821175788.bmp	True	0	0
106	201603211838382656.bmp	True	0	0
107	201603211821223907.bmp	True	0	0
108	201603211806260937.bmp	True	0	0
109	201603211823195156.bmp	True	0	0
110	201603211806173286.bmp	True	0	0
111	201603211833406877.bmp	True	0	0
112	201603211833059538.bmp	True	0	0
113	201603211833492346.bmp	True	0	0
114	201603211804355938.bmp	True	0	0
115	201603211819220785.bmp	True	0	0
116	201603211827094844.bmp	True	0	0
117	201603211825112032.bmp	True	0	0
118	201603211827007038.bmp	True	0	0
119	201603211838256561.bmp	True	0	0
120	201603211804264681.bmp	True	0	0
121	201603211822432657.bmp	True	0	0
122	201603211819485319.bmp	True	0	0
123	201603211833034068.bmp	True	0	0
124	201603211823412654.bmp	True	0	0
125	201603211805580464.bmp	True	0	0
126	201603211837186712.bmp	True	0	0
127	201603211823060625.bmp	True	0	0
128	201603211806339069.bmp	True	0	0
129	201603211817591712.bmp	True	0	0
130	201603211828105937.bmp	True	0	0
131	201603211820589687.bmp	True	0	0
132	201603211838258436.bmp	True	0	0
133	201603211816538124.bmp	True	0	0
134	201603211830212342.bmp	True	0	0
135	201603211806261401.bmp	True	0	0
136	201603211817591565.bmp	True	0	0
137	201603211822182036.bmp	True	0	0
138	201603211829328752.bmp	True	0	0
139	201603211822186251.bmp	True	0	0
140	201603211823502816.bmp	True	0	0
141	201603211805314531.bmp	True	0	0
142	201603211819285938.bmp	True	0	0
143	201603211814318437.bmp	True	0	0
144	201603211806263436.bmp	True	0	0
145	201603211804415157.bmp	True	0	0
146	201603211833100155.bmp	True	0	0
147	201603211835376715.bmp	True	0	0
148	201603211805355005.bmp	True	0	0
149	201603211804522502.bmp	True	0	0
150	201603211819058281.bmp	True	0	0
151	201603211829328435.bmp	True	0	0
152	201603211824265467.bmp	True	0	0
153	201603211814534217.bmp	True	0	0
154	201603211804263438.bmp	True	0	0
155	201603211805163128.bmp	True	0	0
156	201603211804133127.bmp	True	0	0
157	201603211816149686.bmp	True	0	0
158	201603211825189068.bmp	True	0	0
159	201603211838385311.bmp	True	0	0
160	201603211805107508.bmp	True	0	0
161	201603211830135316.bmp	True	0	0
162	201603211837113285.bmp	True	0	0
163	201603211814267817.bmp	True	0	0
164	201603211827216568.bmp	True	0	0
165	201603211821555009.bmp	True	0	0
166	201603211823414215.bmp	True	0	0
167	201603211820051408.bmp	True	0	0
168	201603211819188122.bmp	True	0	0
169	201603211822262185.bmp	True	0	0
170	201603211826432506.bmp	True	0	0
171	201603211814318438.bmp	True	0	0
172	201603211824539842.bmp	True	0	0
173	201603211818396713.bmp	False	0	D
174	201603211823198597.bmp	True	0	0
175	201603211823140786.bmp	True	0	0
176	201603211818192812.bmp	True	0	0
177	201603211835513596.bmp	True	0	0
178	201603211804418596.bmp	True	0	0
179	201603211839419536.bmp	True	0	0
180	201603211804227346.bmp	True	0	0
181	201603211833493437.bmp	True	0	0
182	201603211804173758.bmp	True	0	0
183	201603211835428288.bmp	True	0	0
184	201603211821374376.bmp	True	0	0
185	201603211825124537.bmp	True	0	0
186	201603211820041716.bmp	True	0	0
187	201603211837260788.bmp	True	0	0
188	201603211835032656.bmp	True	0	0
189	201603211814470936.bmp	True	0	0
190	201603211834236256.bmp	True	0	0
191	201603211804180465.bmp	True	0	0
192	201603211820155462.bmp	True	0	0
193	201603211830333438.bmp	True	0	0
194	201603211825354216.bmp	True	0	0
195	201603211829508756.bmp	True	0	0
196	201603211824034689.bmp	True	0	0
197	201603211820049687.bmp	True	0	0
198	201603211804086256.bmp	True	0	0
199	201603211826569219.bmp	True	0	0
200	201603211823494376.bmp	True	0	0
201	201603211821379217.bmp	True	0	0
202	201603211827013437.bmp	True	0	0
203	201603211826005317.bmp	True	0	0
204	201603211804315786.bmp	True	0	0
205	201603211819049845.bmp	True	0	0
206	201603211817586717.bmp	True	0	0
207	201603211824205157.bmp	True	0	0
208	201603211837181717.bmp	True	0	0
209	201603211805216562.bmp	True	0	0
210	201603211819559216.bmp	True	0	0
211	201603211832592188.bmp	True	0	0
212	201603211804463287.bmp	True	0	0
213	201603211819234688.bmp	True	0	0
214	201603211832045317.bmp	True	0	0
215	201603211819191258.bmp	True	0	0
216	201603211827396565.bmp	True	0	0
217	201603211804135623.bmp	False	0	U
218	201603211837263435.bmp	True	0	0
219	201603211838327341.bmp	True	0	0
220	201603211814373126.bmp	True	0	0
221	201603211806395622.bmp	True	0	0
222	201603211820589067.bmp	True	0	0
223	201603211831561095.bmp	True	0	0
224	201603211826556405.bmp	True	0	0
225	201603211819490316.bmp	True	0	0
226	201603211806173595.bmp	True	0	0
227	201603211821372034.bmp	True	0	0
228	201603211828577038.bmp	True	0	0
229	201603211836223906.bmp	True	0	0
230	201603211826327181.bmp	True	0	0
231	201603211827088596.bmp	True	0	0
232	201603211821501568.bmp	True	0	0
233	201603211821113126.bmp	True	0	0
234	201603211814528594.bmp	True	0	0
235	201603211839597037.bmp	True	0	0
236	201603211837487184.bmp	True	0	0
237	201603211831279216.bmp	True	0	0
238	201603211805169535.bmp	True	0	0
239	201603211818194683.bmp	False	0	D
240	201603211832052505.bmp	True	0	0
241	201603211814325936.bmp	True	0	0
242	201603211822026256.bmp	True	0	0
243	201603211805580783.bmp	False	0	Q
244	201603211839283755.bmp	True	0	0
245	201603211825064216.bmp	True	0	0
246	201603211828401257.bmp	True	0	0
247	201603211820105008.bmp	True	0	0
248	201603211815275935.bmp	True	0	0
249	201603211833389067.bmp	True	0	0
250	201603211834531096.bmp	True	0	0
251	201603211826440623.bmp	False	0	D
252	201603211835378286.bmp	True	0	0
253	201603211804325157.bmp	True	0	0
254	201603211829228436.bmp	True	0	0
255	201603211814425936.bmp	True	0	0
256	201603211826137189.bmp	True	0	0
257	201603211838075467.bmp	True	0	0
258	201603211817430316.bmp	True	0	0
259	201603211816200466.bmp	True	0	0
260	201603211840252652.bmp	True	0	0
261	201603211804462817.bmp	True	0	0
262	201603211815549217.bmp	True	0	0
263	201603211816196401.bmp	True	0	0
264	201603211829515935.bmp	True	0	0
265	201603211825351561.bmp	True	0	0
266	201603211814318901.bmp	True	0	0
267	201603211836158594.bmp	True	0	0
268	201603211817587508.bmp	True	0	0
269	201603211833503436.bmp	True	0	0
270	201603211834289374.bmp	True	0	0
271	201603211805405624.bmp	True	0	0
272	201603211804266565.bmp	True	0	0
273	201603211805572187.bmp	True	0	0
274	201603211825579845.bmp	True	0	0
275	201603211806044375.bmp	True	0	0
276	201603211818084215.bmp	True	0	0
277	201603211836216567.bmp	True	0	0
278	201603211825344844.bmp	True	0	0
279	201603211825386874.bmp	True	0	0
280	201603211823416256.bmp	True	0	0
281	201603211827012651.bmp	True	0	0
282	201603211826186568.bmp	True	0	0
283	201603211831378125.bmp	True	0	0
284	201603211823414536.bmp	True	0	0
285	201603211836151251.bmp	True	0	0
286	201603211816356256.bmp	True	0	0
287	201603211820039849.bmp	True	0	0
288	201603211826338597.bmp	True	0	0
289	201603211814421097.bmp	True	0	0
290	201603211814216092.bmp	True	0	0
291	201603211819453432.bmp	True	0	0
292	201603211816035622.bmp	True	0	0
293	201603211827088905.bmp	True	0	0
294	201603211837583596.bmp	True	0	0
295	201603211839561878.bmp	True	0	0
296	201603211827161406.bmp	True	0	0
297	201603211814480004.bmp	True	0	0
298	201603211815066096.bmp	True	0	0
299	201603211814276404.bmp	True	0	0
300	201603211840133754.bmp	True	0	0
301	201603211814417348.bmp	True	0	0
302	201603211840119377.bmp	True	0	0
303	201603211831215315.bmp	True	0	0
304	201603211836552508.bmp	True	0	0
305	201603211815278436.bmp	True	0	0
306	201603211819584685.bmp	True	0	0
307	201603211804464376.bmp	True	0	0
308	201603211821231099.bmp	True	0	0
309	201603211804461408.bmp	True	0	0
310	201603211825070931.bmp	True	0	0
311	201603211817533286.bmp	True	0	0
312	201603211835044067.bmp	True	0	0
313	201603211830368284.bmp	True	0	0
314	201603211827385158.bmp	True	0	0
315	201603211819059377.bmp	True	0	0
316	201603211805172815.bmp	True	0	0
317	201603211825124538.bmp	True	0	0
318	201603211804319066.bmp	True	0	0
319	201603211805390466.bmp	True	0	0
320	201603211838086874.bmp	True	0	0
321	201603211816091257.bmp	True	0	0
322	201603211815332659.bmp	True	0	0
323	201603211817480786.bmp	True	0	0
324	201603211825120007.bmp	True	0	0
325	201603211814380004.bmp	True	0	0
326	201603211824598906.bmp	True	0	0
327	201603211816358753.bmp	False	0	D
328	201603211831377656.bmp	True	0	0
329	201603211838075468.bmp	True	0	0
330	201603211828576717.bmp	True	0	0
331	201603211830332037.bmp	True	0	0
332	201603211804269844.bmp	True	0	0
333	201603211836220155.bmp	True	0	0
334	201603211815024686.bmp	True	0	0
335	201603211819285937.bmp	True	0	0
336	201603211825381564.bmp	True	0	0
337	201603211817283905.bmp	True	0	0
338	201603211832383906.bmp	True	0	0
339	201603211835528909.bmp	True	0	0
340	201603211839595789.bmp	True	0	0
341	201603211821233286.bmp	True	0	0
342	201603211838087506.bmp	True	0	0
343	201603211835426098.bmp	True	0	0
344	201603211835380936.bmp	True	0	0
345	201603211833585786.bmp	True	0	0
346	201603211804521566.bmp	True	0	0
347	201603211829330625.bmp	True	0	0
348	201603211805368907.bmp	True	0	0
349	201603211832280788.bmp	True	0	0
350	201603211825183755.bmp	True	0	0
351	201603211816300467.bmp	True	0	0
352	201603211837019537.bmp	True	0	0
353	201603211832170155.bmp	True	0	0
354	201603211822264067.bmp	True	0	0
355	201603211827084848.bmp	True	0	0
356	201603211835309378.bmp	True	0	0
357	201603211823003908.bmp	True	0	0
358	201603211814370787.bmp	True	0	0
359	201603211804086252.bmp	True	0	0
360	201603211815075154.bmp	True	0	0
361	201603211828516092.bmp	True	0	0
362	201603211817280785.bmp	True	0	0
363	201603211831209685.bmp	True	0	0
364	201603211823061716.bmp	True	0	0
365	201603211820036567.bmp	True	0	0
366	201603211840116716.bmp	True	0	0
367	201603211819587817.bmp	True	0	0
368	201603211816538756.bmp	True	0	0
369	201603211814214067.bmp	True	0	0
370	201603211831531566.bmp	True	0	0
371	201603211821118758.bmp	True	0	0
372	201603211806175317.bmp	True	0	0
373	201603211819288128.bmp	True	0	0
374	201603211825002035.bmp	True	0	0
375	201603211835437186.bmp	True	0	0
376	201603211816455786.bmp	True	0	0
377	201603211819492502.bmp	True	0	0
378	201603211835332505.bmp	True	0	0
379	201603211837191567.bmp	True	0	0
380	201603211840247818.bmp	True	0	0
381	201603211806265316.bmp	True	0	0
382	201603211820529218.bmp	True	0	0
383	201603211822027507.bmp	True	0	0
384	201603211838412654.bmp	True	0	0
385	201603211818192966.bmp	True	0	0
386	201603211823492504.bmp	True	0	0
387	201603211805320939.bmp	True	0	0
388	201603211819552961.bmp	True	0	0
389	201603211834525934.bmp	True	0	0
390	201603211816301401.bmp	True	0	0
391	201603211816034535.bmp	True	0	0
392	201603211821167036.bmp	True	0	0
393	201603211816310626.bmp	True	0	0
394	201603211821055621.bmp	True	0	0
395	201603211819282037.bmp	True	0	0
396	201603211819224686.bmp	True	0	0
