CORRECT	LABEL	PREDICT
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
False	0	13
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
False	0	25
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
False	0	25
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
True	0	0
